DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2012,-1521.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2013,3512.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2014,21832.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2015,28239.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2016,36237.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2017,44571.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2018,64667.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2019,46949.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2020,-151131.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2021,-116630.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,DE,2022,-76138.0,,
